Total Trading Days,Total Trades,RiskToReward,Capital,Total Wins,Total Losses,Win Ratio,Total Profit,Grow Profit %,Max Win,Max Win Score,Max Loss,Max Loss Score,CE Trades,PE Trades,Stategy Name
460,727,1:2,123568.85000000012,528,199,72.63%,23568.85,19.07%,290.1,31922.75,-296.7,-8353.9,71.71%,73.51%,Test
191,224,1:2,106202.70000000004,148,76,66.07%,6202.7,5.84%,228.6,9200.05,-296.7,-2997.35,64.29%,73.81%,Test
460,729,1:2,123704.10000000012,530,199,72.7%,23704.1,19.16%,290.1,32058.0,-296.7,-8353.9,71.71%,73.66%,Test
456,692,1:2,101064.49999999996,285,407,41.18%,1064.5,1.05%,319.4,17772.95,-314.1,-16708.45,45.05%,37.60%,Test
460,729,1:2,123704.10000000012,530,199,72.7%,23704.1,19.16%,290.1,32058.0,-296.7,-8353.9,71.71%,73.66%,Test
456,692,1:2,101064.49999999996,285,407,41.18%,1064.5,1.05%,319.4,17772.95,-314.1,-16708.45,45.05%,37.60%,Test
445,604,1:2,101722.25000000007,247,357,40.89%,1722.25,1.69%,319.4,20731.25,-314.1,-19009.0,43.30%,38.66%,Test
456,692,1:2,101064.49999999996,285,407,41.18%,1064.5,1.05%,319.4,17772.95,-314.1,-16708.45,45.05%,37.60%,Test
236,620,1:2,102237.85000000014,258,362,41.61%,2237.85,2.19%,303.5,16331.4,-283.7,-14093.55,43.22%,37.84%,Test
612,2915,1:2,95349.70000000006,1077,1838,36.95%,-4650.3,-4.88%,451.1,70442.15,-326.9,-75092.45,0,36.95%,Test
309,416,1:2,91860.55,119,297,28.61%,-8139.45,-8.86%,349.4,7906.2,-296.4,-16045.65,0,28.61%,Test
348,483,1:2,92211.25,146,337,30.23%,-7788.75,-8.45%,349.4,9911.8,-367.5,-17700.55,0,30.23%,Test
131,135,1:2,88823.44999999995,29,106,21.48%,-11176.55,-12.58%,552.1,12461.6,-397.8,-23638.15,0,21.48%,Test
339,405,1:2,78942.29999999996,53,352,13.09%,-21057.7,-26.67%,395.9,8279.05,-367.5,-29336.75,0,13.09%,Test
348,483,1:2,92211.25,146,337,30.23%,-7788.75,-8.45%,349.4,9911.8,-367.5,-17700.55,0,30.23%,Test
334,539,1:2,65612.15000000001,18,521,3.34%,-34387.85,-52.41%,151.05,1119.15,-367.5,-35507.0,0,3.34%,Test
611,2858,1:2,81287.09999999973,992,1866,34.71%,-18712.9,-23.02%,330.0,57800.4,-367.5,-76513.3,0,34.71%,Test
320,1040,1:2,104812.04999999984,434,606,41.73%,4812.05,4.59%,405.1,28221.05,-303.3,-23409.0,43.50%,37.95%,Test
320,1040,1:2,104812.04999999984,434,606,41.73%,4812.05,4.59%,405.1,28221.05,-303.3,-23409.0,43.50%,37.95%,Test
320,1040,1:2,104812.04999999984,434,606,41.73%,4812.05,4.59%,405.1,28221.05,-303.3,-23409.0,43.50%,37.95%,Test
320,1680,1:2,109894.74265538678,794,886,47.26%,9894.74,9.0%,326.27,56944.3,-344.15,-47049.55,49.33%,42.12%,Test
320,1040,1:2,104812.04999999984,434,606,41.73%,4812.05,4.59%,405.1,28221.05,-303.3,-23409.0,43.50%,37.95%,Test
320,1040,1:2,104812.04999999984,434,606,41.73%,4812.05,4.59%,405.1,28221.05,-303.3,-23409.0,43.50%,37.95%,Test
320,1217,1:2,102048.2999999999,489,728,40.18%,2048.3,2.01%,306.7,30369.85,-311.0,-28321.55,41.44%,37.43%,Test
605,1423,1:2,99185.89999999982,559,864,39.28%,-814.1,-0.82%,296.1,34030.2,-408.5,-34844.3,43.02%,35.71%,Test
481,700,1:2,99141.40000000014,266,434,38.0%,-858.6,-0.87%,281.0,16045.15,-297.1,-16903.75,40.39%,35.48%,Test
267,380,1:2,99201.6000000001,145,235,38.16%,-798.4,-0.8%,149.85,8323.25,-297.1,-9121.65,40.41%,35.83%,Test
343,489,1:2,99594.6000000001,189,300,38.65%,-405.4,-0.41%,269.5,11063.65,-297.1,-11469.05,41.06%,36.21%,Test
2,4,1:2,99965.2,2,2,50.0%,-34.8,-0.03%,58.75,108.3,-83.25,-143.1,33.33%,100.00%,Test
3,3,1:2,100108.3,2,1,66.67%,108.3,0.11%,58.75,108.3,0.0,0.0,50.00%,100.00%,Test
316,386,1:2,98045.15000000004,138,248,35.75%,-1954.85,-1.99%,189.7,8060.35,-296.3,-10015.2,38.66%,32.81%,Test
298,358,1:2,98003.60000000012,127,231,35.47%,-1996.4,-2.04%,189.7,7405.1,-296.3,-9401.5,38.55%,32.40%,Test
298,358,1:2,98003.60000000012,127,231,35.47%,-1996.4,-2.04%,189.7,7405.1,-296.3,-9401.5,38.55%,32.40%,Test
287,321,1:2,98830.39999999998,108,213,33.64%,-1169.6,-1.18%,376.9,11946.4,-296.3,-13116.0,34.16%,33.12%,Test
432,566,1:2,98833.24999999994,202,364,35.69%,-1166.75,-1.18%,365.0,21453.8,-296.3,-22620.55,37.28%,34.15%,Test
432,566,1:2,98833.24999999994,202,364,35.69%,-1166.75,-1.18%,365.0,21453.8,-296.3,-22620.55,37.28%,34.15%,Test
459,696,1:2,98426.2000000002,260,436,37.36%,-1573.8,-1.6%,234.6,15786.3,-296.3,-17360.1,41.64%,33.24%,Test
456,692,1:2,101064.49999999996,285,407,41.18%,1064.5,1.05%,319.4,17772.95,-314.1,-16708.45,45.05%,37.60%,Test
97,103,1:2,99806.45000000004,39,64,37.86%,-193.55,-0.19%,121.9,2146.5,-164.7,-2340.05,34.55%,41.67%,Test
217,248,1:2,99253.9,91,157,36.69%,-746.1,-0.75%,281.0,5532.25,-308.5,-6278.35,39.23%,33.90%,Test
236,620,1:2,102237.85000000014,258,362,41.61%,2237.85,2.19%,303.5,16331.4,-283.7,-14093.55,43.22%,37.84%,Test
94,270,1:2,101394.05,108,162,40.0%,1394.05,1.37%,279.1,7482.35,-283.7,-6088.3,41.49%,36.59%,Test
88,330,1:2,95594.20000000024,124,206,37.58%,-4405.8,-4.61%,273.2,10050.4,-479.8,-14456.2,37.38%,37.93%,Test
88,240,1:2,95176.70000000016,74,166,30.83%,-4823.3,-5.07%,285.1,11362.4,-375.4,-16185.7,33.97%,25.00%,Test
176,217,1:2,97498.84999999992,76,141,35.02%,-2501.15,-2.57%,458.2,12296.1,-455.3,-14797.25,35.90%,34.00%,Test
594,2374,1:2,72669.69999999969,880,1494,37.07%,-27330.3,-37.61%,757.3,143435.45,-1064.3,-170765.75,38.55%,35.52%,Test
449,696,1:2,104027.69000000008,301,395,43.25%,4027.69,3.87%,733.6,50431.58,-734.2,-46403.89,44.73%,41.74%,Test
39,39,1:2,99589.3,11,28,28.21%,-410.7,-0.41%,117.45,1144.65,-138.65,-1555.35,26.32%,30.00%,Test
449,696,1:2,104027.69000000008,301,395,43.25%,4027.69,3.87%,733.6,50431.58,-734.2,-46403.89,44.73%,41.74%,Test
255,312,1:2,101587.5900000001,137,175,43.91%,1587.59,1.56%,513.1,21779.52,-606.4,-20191.93,42.77%,45.21%,Test
449,696,1:2,104027.69000000008,301,395,43.25%,4027.69,3.87%,733.6,50431.58,-734.2,-46403.89,44.73%,41.74%,Test
255,312,1:2,101587.5900000001,137,175,43.91%,1587.59,1.56%,513.1,21779.52,-606.4,-20191.93,42.77%,45.21%,Test
